kreiskey1800,county,rb,pop181621_born_tot,pop181621_born_oow_tot,pop181621_stillborn_oow_tot,pop181621_died_un1_tot,pop181621_died_m_1to3,pop181621_died_f_1to3,pop181621_died_m_3to5,pop181621_died_f_3to5,pop181621_died_m_10to14,pop181621_died_f_10to14,pop181621_died_m_14to20,pop181621_died_f_14to20,pop181621_died_m_80to84,pop181621_died_f_80to84,pop181621_died_m_85to89,pop181621_died_f_85to89,pop181621_died_m_ov89,pop181621_died_f_ov89,pop181621_died_m_tot,pop181621_died_f_tot,pop181621_died_tot,pop181621_died_m_sui,pop181621_died_f_sui,pop181621_died_f_birth
29,"Hirschberg","LIE",5957,454,378,1823,199,230,41,64,19,16,32,30,48,52,16,11,6,6,2575,2661,5236,16,2,80
29,"Schönau","LIE",3460,181,231,935,98,97,20,27,8,5,11,17,29,22,11,6,0,2,1405,1393,2798,6,1,37
30,"Schweidnitz","BRE",7207,592,377,1772,258,238,67,92,27,29,42,46,44,41,17,22,8,1,2707,2478,5185,16,4,54
30,"Schweidnitz","BRE",8680,744,427,1985,292,282,81,91,30,39,56,42,59,62,26,22,4,4,3024,2952,5976,18,2,66
30,"Waldenburg","BRE",6506,448,382,1518,221,220,63,72,24,28,38,39,32,32,21,9,3,1,2396,2289,4685,9,1,67
31,"Pless","OPP",13381,658,344,2244,665,591,316,314,89,81,114,126,56,52,41,30,17,14,4652,4165,8817,3,0,124
31,"Pless","OPP",3420,166,77,484,165,152,63,77,23,23,29,22,8,18,8,8,2,5,1108,977,2085,1,0,28
31,"Ribnik","OPP",10439,643,240,1886,510,429,207,153,57,63,68,63,49,46,30,36,22,22,3215,3020,6235,5,1,85
32,"Anklam","STE",3165,341,105,310,102,79,35,37,14,14,17,15,39,40,21,16,3,5,924,880,1804,4,1,25
32,"Anklam","STE",3132,317,108,375,78,99,49,47,21,9,20,22,28,25,10,16,3,3,972,956,1928,6,1,28
32,"Uckermünde","STE",4229,397,53,482,128,125,76,67,28,23,34,20,34,28,14,15,4,4,1174,1112,2286,8,2,25
33,"Adelnau","POS",4222,166,30,688,290,286,97,94,28,31,39,31,24,13,3,3,4,9,1380,1192,2572,0,0,31
33,"Adelnau","POS",7550,286,86,1208,248,275,101,87,29,37,51,44,33,24,13,23,19,18,1847,1776,3623,6,1,50
33,"Krotoschin","POS",8470,316,178,1292,344,334,136,103,40,44,53,69,53,46,20,21,20,29,2320,2199,4519,6,0,92
33,"Krotoschin","POS",6096,266,86,825,305,289,155,109,41,36,31,49,26,23,9,9,21,13,1759,1585,3344,1,0,46
33,"Pleschen","POS",6632,227,66,935,238,196,102,100,33,19,52,40,43,44,14,21,23,22,1640,1485,3125,0,2,69
34,"Lübben","FRA",7962,806,325,1157,269,275,107,132,26,36,58,39,59,72,31,24,12,6,2765,2517,5282,13,5,59
35,"Lauenburg","KOS",9042,927,246,986,316,270,152,137,40,53,48,84,55,62,26,23,13,8,2500,2344,4844,6,1,101
36,"Spremberg","FRA",7057,639,259,1260,166,182,75,83,24,23,30,25,70,69,30,31,9,20,2260,2140,4400,7,4,83
37,"Osterwiek","MAG",3828,488,175,555,144,137,77,58,27,19,26,23,37,34,21,12,1,0,1403,1400,2803,8,3,41
38,"Memel","KON",2418,154,77,424,86,79,39,36,13,9,24,15,20,22,6,7,5,9,856,741,1597,5,0,10
38,"Memel","KON",5214,327,119,851,183,153,73,83,27,27,49,36,36,47,16,17,14,19,1765,1581,3346,5,3,47
38,"Memel","GUM",2051,144,33,392,65,73,26,26,8,13,20,20,19,17,8,6,5,5,626,557,1183,1,0,20
39,"Schrodda","POS",3290,144,32,585,202,191,91,92,26,25,21,39,11,6,6,6,5,9,1063,1077,2140,1,0,28
39,"Schrodda","POS",7517,322,68,1071,318,261,132,109,33,44,61,56,38,38,21,18,13,14,1901,1689,3590,4,0,57
40,"Schrimm","POS",8744,335,90,1205,336,291,124,122,43,59,80,83,61,41,24,20,28,19,2359,2197,4556,4,0,58
40,"Schrimm","POS",4466,188,35,833,257,227,120,105,34,32,45,47,24,23,8,6,10,6,1459,1399,2858,2,0,33
41,"Kosten","POS",6693,292,120,1088,250,194,94,99,37,36,45,56,41,39,13,8,13,20,1784,1742,3526,5,1,81
41,"Kosten","POS",3780,180,60,675,152,138,87,63,20,26,30,31,16,23,9,14,7,5,1167,1042,2209,1,0,29
42,"Obernik","POS",5239,217,49,723,311,275,127,106,33,32,59,34,20,24,10,5,13,10,1572,1431,3003,0,0,41
42,"Obernik","POS",6251,256,82,861,294,236,110,99,25,21,37,51,32,27,11,17,10,28,1703,1549,3252,3,0,66
43,"Schildberg","POS",7734,327,114,1195,335,309,108,107,35,29,45,58,42,29,13,13,12,11,2029,1912,3941,6,2,75
43,"Schildberg","POS",3696,153,34,604,218,191,86,83,23,36,28,23,16,17,5,3,2,6,1172,1092,2264,1,0,45
45,"Bomst","POS",4569,300,80,748,134,153,103,69,41,26,27,21,18,23,16,15,9,10,1320,1279,2599,0,0,33
