kreiskey1866,county,rb,soil1866_are_tot,soil1866_are_loam_hig,soil1866_are_loam_riv,soil1866_are_gcl_hig,soil1866_are_gcl_riv,soil1866_are_cla_tot,soil1866_are_sloa,soil1866_are_san,soil1866_are_swamp,soil1866_are_wat,soil1866_are_lim
197,"SPROTTAU","LIE",13205,422,300,0,0,722,4724,7091,611,57,0
198,"ASCHERSLEBEN","MAG",8174,5413,128,1066,0,6607,1436,71,0,60,94
199,"GARDELEGEN","MAG",23775,0,0,1244,0,1244,2468,15402,4564,97,530
200,"HALBERSTADT LANDKREIS","MAG",8928,5288,0,1301,1962,8551,245,0,74,58,612
201,"JERICHOW I","MAG",24920,4321,4148,672,0,9141,6832,8113,460,374,0
202,"JERICHOW II","MAG",25026,83,3360,1978,0,5421,3131,13255,2465,754,0
203,"KALBE","MAG",9558,4040,870,0,882,5792,2503,630,353,280,0
204,"MAGDEBURG","MAG",1010,642,0,0,299,941,0,0,0,69,0
205,"NEUHALDENSLEBEN","MAG",12300,4351,0,210,0,4561,3063,3936,683,57,528
206,"OSCHERSLEBEN","MAG",9187,0,0,7410,969,8379,0,0,744,64,1795
207,"OSTERBURG","MAG",20059,390,4234,0,2520,7144,5776,5032,1572,535,0
208,"SALZWEDEL","MAG",22012,4625,0,0,1976,6601,5470,8464,1375,102,0
209,"STENDAL","MAG",16303,0,0,651,0,651,5209,8586,1618,239,0
210,"WANZLEBEN","MAG",9874,6779,0,0,0,6779,3010,0,0,85,479
211,"WERNIGERODE","MAG",5051,1316,0,3684,0,5000,0,0,20,31,537
212,"WOLMIRSTEDT","MAG",12637,3779,0,0,1641,5420,572,6213,225,207,90
213,"BITTERFELD","MER",12656,2945,708,0,0,3653,2603,6261,0,139,0
214,"DELITZSCH","MER",13701,5022,1562,0,0,6584,5287,1670,0,160,0
215,"ECKARTSBERGA","MER",10188,4473,1233,3014,619,9339,772,0,0,77,1426
216,"HALLE","MER",452,445,0,0,0,445,0,0,0,7,0
217,"LIEBENWERDA","MER",14414,327,990,0,35,1352,5934,6674,202,252,0
218,"MANSFELDER GEBIRGSKR","MER",8841,2834,0,5969,0,8803,0,0,0,38,0
219,"MANSFELDER SEEKREIS","MER",10797,9502,0,394,0,9896,632,0,0,269,343
220,"MERSEBURG","MER",10441,7876,1809,0,0,9685,602,0,0,154,0
221,"NAUMBURG","MER",2787,1145,394,0,0,1539,1209,0,0,39,0
222,"QUERFURT","MER",12423,7376,800,2273,0,10449,1596,306,0,72,547
223,"SAALKREIS","MER",9280,8130,0,0,0,8130,0,1028,0,122,0
224,"SANGERHAUSEN","MER",14060,4964,3589,3788,700,13041,891,0,0,128,406
225,"SCHWEINITZ","MER",18467,331,598,0,0,929,1928,14938,443,229,0
226,"TORGAU","MER",17905,2675,2802,0,0,5477,9868,2063,185,312,0
227,"WEISSENFELS LANDKREIS","MER",9150,7056,281,1745,0,9082,0,0,0,68,1745
228,"WITTENBERG","MER",14976,0,3393,0,0,3393,1879,9321,115,268,0
229,"ZEITZ LANDKREIS","MER",4822,470,824,3383,0,4677,0,0,0,145,0
230,"ERFURT LANDKREIS","ERF",5911,2010,821,2584,134,5549,292,0,26,44,660
231,"HEILIGENSTADT","ERF",7873,3163,559,3205,0,6927,697,179,29,41,4165
232,"LANGENSALZA","ERF",7665,3465,681,3387,43,7576,0,0,0,89,886
233,"MUHLHAUSEN LANDKREIS","ERF",8292,1971,780,5318,28,8097,85,47,0,63,2004
234,"NORDHAUSEN LANDKREIS","ERF",9021,1947,758,2618,0,5323,3308,314,0,76,1814
235,"SCHLEUSINGEN","ERF",8327,347,511,1007,0,1865,4623,1811,0,28,343
236,"WEISSENSEE","ERF",5297,2863,847,432,336,4478,758,0,0,61,0
237,"WORBIS","ERF",8082,1335,908,719,0,2962,4645,436,10,29,0
238,"ZIEGENRUCK","ERF",3549,584,100,636,0,1320,2023,159,0,47,129
239,"BIELEFELD LANDKREIS","MIN",4963,1556,0,945,213,2714,211,2030,0,8,766
240,"BUREN","MIN",13888,967,91,9568,0,10626,1514,934,810,4,7838
