kreiskey1874,county,rb,lit1871_ill_m_to10_pro,lit1871_ill_f_to10_pro,lit1871_ill_m_to10_cat,lit1871_ill_f_to10_cat,lit1871_ill_m_to10_jew,lit1871_ill_f_to10_jew,lit1871_ill_m_to10_oth,lit1871_ill_f_to10_oth,lit1871_ill_m_to10_tot,lit1871_ill_f_to10_tot,edu1871_lit_mis_m,edu1871_lit_mis_f
45,"Karthaus","DAN",1551,2109,9206,11179,10,19,0,0,10767,13307,599,642
46,"Neustadt i. Wpr.","DAN",1182,1743,9014,11634,6,17,0,0,10202,13394,0,9
47,"Stuhm","MAR",989,1489,4203,5039,31,59,14,33,5237,6620,135,210
48,"Marienwerder","MAR",3156,3929,4194,5082,41,42,7,12,7398,9065,436,510
49,"Rosenberg i. Pr.","MAR",4366,5534,838,893,54,63,1,2,5259,6492,77,101
50,"Löbau","MAR",1063,1347,8110,9043,59,93,8,3,9240,10486,752,865
51,"Strasburg","MAR",2140,2494,10343,10788,159,252,28,26,12670,13560,356,306
52,"Thorn","MAR",1918,2254,7241,7943,71,104,5,11,9235,10312,508,628
53,"Kulm","MAR",2089,2749,5285,6162,55,88,6,7,7435,9006,360,571
54,"Graudenz","MAR",2640,3094,5065,5394,58,108,6,12,7769,8608,404,592
55,"Schwetz","MAR",2245,3199,6670,8737,94,128,21,52,9030,12116,291,209
56,"Konitz","MAR",1151,1787,8576,11503,129,246,0,0,9856,13536,608,950
57,"Schlochau","MAR",1578,2511,2969,3905,77,161,0,1,4624,6578,275,395
58,"Flatkow","MAR",2484,3955,2712,3909,248,382,30,30,5474,8276,429,745
59,"Dt. Krone","MAR",1455,2553,1334,2366,95,176,2,4,2886,5099,432,602
60,"Berlin","POT",3225,8233,680,684,170,456,33,95,4108,9468,2816,1038
61,"Prenzlau","POT",949,2224,6,7,3,8,2,5,960,2244,139,305
62,"Templin","POT",1012,2276,3,0,0,5,11,31,1026,2312,162,444
63,"Angermünde","POT",1038,2307,10,3,7,16,2,1,1057,2327,286,294
64,"Oberbarnim","POT",838,1707,14,5,2,2,1,3,855,1717,335,381
65,"Niederbarnim","POT",1295,2711,159,26,6,4,1,2,1461,2743,414,360
66,"Teltow","POT",1559,2966,101,58,2,3,4,2,1666,3029,952,1394
67,"Beeskow-Storkow","POT",773,1697,5,2,5,4,0,0,783,1703,202,0
68,"Jüterbock-Luckenwalde","POT",575,1372,9,1,0,0,0,0,584,1373,203,293
69,"Zauche-Belzig","POT",523,1407,10,14,0,2,0,0,533,1423,80,385
70,"Stadt Potsdam","POT",192,600,56,26,7,10,0,1,255,637,0,0
71,"Ost-Havelland","POT",686,1570,105,25,6,5,1,1,798,1601,98,173
72,"Brandenburg a./Havel","POT",163,471,42,7,3,7,0,0,208,485,20,10
73,"West-Havelland","POT",303,812,0,0,4,0,0,0,307,812,135,199
74,"Ruppin","POT",996,2830,11,16,9,11,0,0,1016,2857,532,717
75,"Ostpriegnitz","POT",1156,2736,2,0,1,1,0,0,1159,2734,415,618
76,"Westpriegnitz","POT",1157,2782,11,10,4,10,0,4,1172,2806,228,356
77,"Königsberg","FRA",1495,3329,59,13,7,19,1,9,1562,3370,419,624
78,"Soldin","FRA",1450,2547,26,4,4,14,0,5,1480,2570,512,1004
79,"Arnswalde","FRA",1282,2469,1,3,10,12,0,0,1293,2484,679,883
80,"Friedeberg","FRA",2148,4278,67,30,14,32,1,3,2230,4343,608,846
81,"Landsberg","FRA",1992,4284,61,64,9,28,0,3,2062,4379,716,913
82,"Lebus","FRA",969,2166,18,8,5,8,4,4,996,2186,357,648
83,"Stadt Frankfurt","FRA",357,1098,85,63,4,35,0,1,446,1197,21,20
84,"Ost-Sternberg","FRA",1255,2710,40,46,13,35,0,0,1308,2791,158,295
85,"West-Sternberg","FRA",1058,2464,9,8,4,10,2,8,1073,2490,91,210
86,"Züllichau-Schwiebus","FRA",735,1630,239,436,2,4,9,13,985,2083,317,603
87,"Krossen","FRA",1298,3267,18,15,1,4,0,0,1317,3286,0,130
88,"Guben","FRA",797,2254,35,59,1,1,0,1,833,2315,66,137
89,"Lübben","FRA",453,1330,14,2,1,3,0,0,468,1335,336,416
90,"Luckau","FRA",716,1914,5,0,2,0,0,2,723,1916,243,287
91,"Kalau","FRA",654,1694,7,2,1,1,0,0,662,1697,198,324
92,"Kottbus","FRA",950,2489,14,12,1,2,0,1,965,2504,483,753
93,"Sorau","FRA",988,2277,55,44,3,2,4,14,1050,3337,443,612
94,"Spremberg","FRA",343,3849,7,10,0,0,0,0,350,859,110,130
95,"Demmin","STE",1454,3243,0,0,0,0,0,0,1454,3243,169,287
96,"Anklam","STE",642,1249,3,5,4,5,0,1,649,1260,146,250
97,"Usedom-Wollin","STE",929,1983,65,5,10,2,3,6,1007,1996,474,634
98,"Ükermünde","STE",867,1717,32,39,3,2,0,0,902,1758,161,213
99,"Randow","STE",2433,4476,0,4,0,0,0,0,2433,4480,0,0
100,"Stadtkreis Stettin","STE",327,927,82,25,6,15,7,8,422,975,382,493
101,"Greifenhagen","STE",970,2064,1,1,4,9,0,1,975,2075,69,60
102,"Pyritz","STE",898,1837,16,1,5,10,2,5,921,1853,194,317
103,"Saatzig","STE",1271,2982,14,11,3,11,0,6,1288,3010,20,191
104,"Naugard","STE",1439,2921,22,20,8,15,0,2,1469,2958,193,170
105,"Kammin","STE",634,1577,11,6,0,1,10,17,655,1601,124,136
106,"Greifenberg","STE",406,1151,5,3,3,6,6,19,420,1179,240,301
107,"Regenwalde","STE",1206,2480,5,3,6,16,6,10,1223,2509,301,401
108,"Schivelbein","KOS",380,852,1,3,3,7,0,0,384,862,121,157
109,"Dramburg","KOS",919,1937,6,6,9,15,0,8,934,1966,263,337
110,"Neustettin","KOS",2303,3931,13,17,23,41,2,2,2341,3991,759,914
111,"Belgard","KOS",1022,1995,43,0,8,21,1,0,1074,2016,205,299
112,"Kolberg-Körlin","KOS",722,1566,211,10,8,8,0,3,941,1587,486,626
113,"Köslin","KOS",627,1426,34,6,0,3,6,6,667,1441,304,298
114,"Bublitz","KOS",719,1194,1,0,5,9,7,9,732,1212,416,531
115,"Schlawe","KOS",2102,4695,6,0,7,19,1,6,2116,4720,716,880
116,"Rummelsburg","KOS",2199,3727,2,2,2,10,0,4,2203,3743,0,0
117,"Stolp","KOS",3936,7238,49,55,20,30,9,28,4014,7351,445,727
118,"Lauenburg","KOS",2503,4017,456,587,5,13,12,25,2976,4642,447,656
119,"Bütow","KOS",1132,1931,594,877,15,22,0,5,1741,2835,520,670
120,"Rügen","STR",1826,3640,2,1,0,0,0,0,1828,3641,49,0
121,"Stadt Stralsund","STR",413,994,48,10,1,0,0,0,462,1004,0,0
122,"Franzburg","STR",1961,3556,1,0,0,0,17,18,1979,3574,0,0
123,"Greifswald","STR",1735,4227,6,2,1,0,1,0,1743,4229,149,262
124,"Grimmen","STR",1960,3852,2,0,0,0,0,0,1962,3852,103,119
125,"Wreschen","POS",204,371,5279,6333,162,245,0,0,5645,6949,848,1046
126,"Pleschen","POS",703,1022,8351,10720,125,231,0,0,9179,11973,189,279
127,"Schroda","POS",647,863,6175,7476,47,84,0,0,6869,8423,464,562
128,"Schrimm","POS",765,1054,6269,8260,120,233,0,0,7154,9547,403,524
129,"Kosten","POS",466,770,7096,9743,27,50,0,0,7589,10563,787,1138
130,"Buk","POS",814,1496,4019,5842,104,224,0,0,4937,7562,508,684
131,"Stadt Posen","POS",398,989,1780,3667,178,415,0,0,2356,5071,302,428
