kreiskey1882,county,rb,occ1882_se_agr_pr,occ1882_emp_agr_pr,occ1882_se_for_pr,occ1882_emp_for_pr,occ1882_se_agr_cat,occ1882_emp_agr_cat,occ1882_se_for_cat,occ1882_emp_for_cat,occ1882_se_agr_jew,occ1882_emp_agr_jew,occ1882_se_for_jew,occ1882_emp_for_jew,occ1882_se_agr_tot,occ1882_emp_agr_tot,occ1882_se_for_tot,occ1882_emp_for_tot
240,"MANSFELDER GEBIRGSKR","MER",1147,4373,3,248,1,128,0,1,0,0,0,0,1148,4501,3,249
241,"MANSFELDER SEEKREIS","MER",1224,9062,22,28,2,578,0,0,0,0,0,0,1226,9642,22,28
242,"SANGERHAUSEN","MER",2712,8860,2,248,5,232,0,0,0,0,0,0,2717,9092,2,248
243,"ECKARTSBERGA","MER",2768,6493,3,42,0,74,0,0,0,0,0,0,2768,6567,3,42
244,"QUERFURT","MER",2743,9573,5,86,1,346,0,0,0,1,0,0,2747,9922,5,86
245,"MERSEBURG","MER",2762,9026,23,34,1,287,1,1,0,0,0,0,2763,9314,24,35
246,"WEISSENFELS","MER",2662,7428,13,18,1,166,0,0,0,0,0,0,2663,7595,13,18
247,"NAUMBURG","MER",1152,2069,8,24,0,53,0,1,0,0,0,0,1152,2122,8,25
248,"ZEITZ","MER",1130,4356,1,33,0,182,0,0,0,0,0,0,1130,4538,1,33
249,"NORDHAUSEN","ERF",54,218,0,1,1,51,1,0,0,0,0,0,56,269,1,1
250,"NORDHAUSEN","ERF",1432,4347,3,99,2,63,0,0,0,0,0,0,1434,4411,3,99
251,"WORBIS","ERF",375,981,10,33,1455,2987,8,50,0,0,0,0,1830,3969,18,83
252,"HEILIGENSTADT","ERF",116,376,4,17,1545,4685,0,42,0,0,0,0,1661,5061,4,59
253,"MUHLHAUSEN","ERF",1610,3064,0,42,819,1521,0,22,0,0,0,0,2429,4585,0,64
254,"LANGENSALZA","ERF",2757,4355,0,50,1,45,0,0,0,0,0,0,2758,4401,0,50
255,"WEISSENSEE","ERF",1885,3924,0,1,2,13,0,0,0,0,0,0,1889,3939,0,1
