kreiskey1864,county,rb,edu1864_pub_ele_tea_m,edu1864_pub_ele_tea_f,edu1864_pub_mim_tea_m,edu1864_pub_mif_tea_m,edu1864_pub_mif_tea_f,edu1864_pub_rea_tea_m,edu1864_pub_pgy_tea_m,edu1864_pub_gym_tea_m,edu1864_pri_ele_tea_m,edu1864_pri_ele_tea_f,edu1864_pri_hsm_tea_m,edu1864_pri_hsf_tea,edu1864_pri_voc_tea_m,edu1864_pri_sun_tea_m
263,"BUREN","MIN",77,11,0,"0",0,0,0,0,2,1,0,"0",0,0
264,"WARBURG","MIN",55,18,0,"0",1,0,4,0,3,0,0,"0",0,1
265,"HOXTER","MIN",95,23,1,"0",0,0,0,0,2,4,8,"13",0,2
266,"ARNSBERG","ARN",52,17,1,"0",0,0,0,11,2,0,0,"7",0,3
267,"MESCHEDE","ARN",46,10,7,"0",0,0,0,0,4,2,0,"0",0,2
268,"BRILON","ARN",62,18,0,"0",0,0,0,11,2,1,0,"0",0,1
269,"LIPPSTADT","ARN",55,20,4,"0",0,13,0,0,4,0,0,"1",0,4
270,"SOEST","ARN",76,14,2,"0",0,0,0,10,7,12,0,"3",0,1
271,"HAMM LANDKREIS","ARN",70,13,4,"0",0,0,0,10,2,0,0,"7",0,3
272,"DORTMUND LANDKREIS","ARN",130,10,10,"0",0,4,0,19,1,2,0,"15",0,3
273,"BOCHUM LANDKREIS","ARN",81,29,18,"0",0,0,0,0,5,0,7,"5",3,1
274,"HAGEN LANDKREIS","ARN",136,14,8,"2",3,9,0,0,5,1,4,"1",5,0
275,"ISERLOHN","ARN",63,10,12,"0",0,0,0,0,4,0,3,"6",4,2
276,"ALTENA","ARN",77,2,4,"1",1,7,0,0,3,0,1,"2",1,4
277,"OLPE","ARN",69,3,4,"0",0,0,6,0,0,1,1,"0",0,0
278,"SIEGEN","ARN",127,86,2,"0",0,11,0,0,2,0,3,"2",10,8
279,"WITTGENSTEIN","ARN",48,1,0,"0",0,0,0,0,6,0,0,"0",0,2
280,"WIPPERFURTH","KOL",35,4,0,"0",0,1,5,0,1,0,0,"0",0,0
281,"WALDBROL","KOL",33,2,0,"0",0,0,0,0,1,0,2,"0",4,0
282,"GUMMERSBACH","KOL",50,0,0,"0",0,2,0,0,1,0,0,"0",0,0
283,"SIEGKREIS","KOL",110,22,3,"0",0,0,9,0,2,0,3,"4",0,5
284,"MULHEIM RHEIN LANDKREIS","KOL",68,18,0,"0",0,10,18,0,2,0,3,"2",6,2
285,"KOLN STADTKREIS","KOL",131,93,0,"0",0,25,0,64,6,17,4,"68",24,3
286,"KOLN LANDKREIS","KOL",82,32,0,"0",0,0,0,0,7,1,5,"0",0,0
287,"BERGHEIM","KOL",72,16,6,"0",0,0,4,8,4,0,2,"1",0,0
288,"EUSKIRCHEN","KOL",62,21,8,"0",0,0,0,0,2,0,1,"0",0,0
289,"RHEINBACH","KOL",56,18,0,"0",0,0,0,10,1,0,5,"0",0,0
290,"BONN LANDKREIS","KOL",89,27,0,"0",0,0,0,23,3,5,16,"48",4,8
291,"KLEVE","DUS",79,23,0,"8",9,3,0,13,3,1,14,"1",0,11
292,"REES","DUS",70,21,4,"0",0,0,0,22,1,0,3,"18",0,2
293,"KREFELD LANDKREIS","DUS",109,11,0,"6",11,18,0,0,1,0,0,"1",5,2
294,"DUISBURG","DUS",145,14,0,"4",2,28,0,11,2,2,3,"13",0,0
295,"ESSEN LANDKREIS","DUS",100,21,0,"1",6,13,5,15,2,8,0,"3",0,1
296,"MORS","DUS",98,14,2,"0",0,0,10,0,4,0,8,"6",0,0
297,"GELDERN","DUS",60,21,0,"0",1,0,0,0,0,0,2,"0",0,0
298,"KEMPEN","DUS",83,38,0,"0",0,3,0,11,0,0,6,"2",0,1
