kreiskey1888,county,rb,edu1886_loc_scd,edu1886_loc_sco,edu1886_dif_scd,edu1886_dif_sco,edu1886_tot_scd,edu1886_tot_sco,edu1886_pro_sco,edu1886_pro_cla,edu1886_cat_sco,edu1886_cat_cla,edu1886_ocr_sco,edu1886_ocr_cla,edu1886_jew_sco,edu1886_jew_cla,edu1886_mix_sco,edu1886_mix_cla,edu1886_new_num,edu1886_new_roo,edu1886_ext_num,edu1886_ext_roo
158,"ADELNAU","POS",32,32,14,14,46,46,9,13,33,51,0,0,0,0,4,15,6,8,3,1
159,"SCHILDBERG","POS",13,13,27,27,40,40,9,17,27,55,0,0,1,2,3,12,13,1,4,2
160,"KEMPEN","POS",7,7,31,31,38,38,4,5,32,56,0,0,0,0,2,15,20,11,6,0
161,"FILEHNE","BRO",32,33,18,18,50,51,37,56,13,24,0,0,1,2,0,0,4,3,6,2
162,"CZARNIKAU","BRO",38,38,16,16,54,54,30,60,18,28,0,0,2,3,4,9,4,0,11,2
163,"KOLMAR (Chodziesen)","BRO",35,35,52,52,87,87,58,110,24,53,0,0,4,7,1,3,9,4,14,2
164,"WIRSITZ","BRO",16,16,81,82,97,98,53,86,42,55,0,0,2,4,1,6,18,8,14,4
165,"BROMBERG","BRO",1,7,0,0,1,7,0,0,0,0,0,0,0,0,7,39,0,0,0,0
166,"BROMBERG","BRO",21,21,80,81,101,102,50,72,39,59,0,0,1,2,12,55,15,4,10,1
167,"SCHUBIN","BRO",9,9,64,64,73,73,45,65,22,43,0,0,3,4,3,10,7,3,13,4
168,"HOHENSALZA (Inowraclaw)","BRO",2,2,54,54,56,56,24,34,29,54,0,0,0,0,3,34,15,20,6,1
169,"STRELNO","BRO",5,5,44,44,49,49,16,19,31,52,0,0,1,2,1,2,4,3,5,1
170,"MOGILNO","BRO",4,4,59,59,63,63,27,37,35,80,0,0,1,1,0,0,20,6,3,0
171,"ZNIN","BRO",2,2,52,53,54,55,13,16,39,66,0,0,2,2,1,4,11,7,6,0
172,"WONGROWITZ","BRO",5,5,68,68,73,73,24,27,44,79,0,0,1,1,4,19,12,6,8,1
173,"GNESEN","BRO",3,3,40,40,43,43,14,23,28,64,0,0,1,3,0,0,3,1,13,2
174,"WITKOWO","BRO",4,4,35,35,39,39,15,15,22,48,0,0,1,1,1,4,5,1,1,0
175,"NAMSLAU","BRE",22,23,32,33,54,56,33,79,23,51,0,0,0,0,0,0,2,0,7,0
176,"GROSS WARTENBERG","BRE",31,32,51,52,82,84,55,139,29,68,0,0,0,0,0,0,13,9,7,0
177,"OLS","BRE",51,54,42,42,93,96,85,221,10,19,0,0,1,1,0,0,7,16,13,1
178,"TREBNITZ","BRE",32,32,51,51,83,83,69,158,14,25,0,0,0,0,0,0,10,4,11,1
179,"MILITSCH","BRE",40,40,57,57,97,97,76,163,21,40,0,0,0,0,0,0,11,3,3,0
180,"GUHRAU","BRE",15,15,46,50,61,65,52,115,13,20,0,0,0,0,0,0,3,2,3,1
181,"STEINAU","BRE",22,22,23,23,45,45,36,76,9,13,0,0,0,0,0,0,1,1,5,0
182,"WOHLAU","BRE",36,37,52,52,88,89,62,123,27,44,0,0,0,0,0,0,5,2,8,2
183,"NEUMARKT","BRE",39,40,56,56,95,96,50,114,46,78,0,0,0,0,0,0,10,6,10,3
184,"BRESLAU","BRE",2,91,0,0,2,91,55,356,36,223,0,0,0,0,0,0,4,91,2,4
185,"BRESLAU","BRE",16,17,73,75,89,92,55,159,37,82,0,0,0,0,0,0,10,5,12,2
186,"OHLAU","BRE",32,32,34,34,66,66,38,95,26,67,0,0,0,0,2,23,5,10,5,0
187,"BRIEG","BRE",47,54,19,19,66,73,66,175,7,20,0,0,0,0,0,0,5,2,21,5
188,"STREHLEN","BRE",16,17,27,27,43,44,37,101,7,16,0,0,0,0,0,0,1,1,4,0
189,"NIMPTSCH","BRE",7,7,30,30,37,37,28,95,9,23,0,0,0,0,0,0,2,4,3,2
190,"MUNSTERBERG","BRE",11,11,21,21,32,32,7,17,25,83,0,0,0,0,0,0,1,0,3,2
191,"FRANKENSTEIN","BRE",35,35,24,24,59,59,15,34,44,127,0,0,0,0,0,0,3,0,9,1
192,"REICHENBACH","BRE",39,39,27,27,66,66,40,133,24,63,2,5,0,0,0,0,5,7,4,0
193,"SCHWEIDNITZ","BRE",54,59,45,46,99,105,63,191,42,104,0,0,0,0,0,0,12,12,8,2
194,"STRIEGAU","BRE",21,23,26,27,47,50,31,82,19,44,0,0,0,0,0,0,9,4,3,0
195,"WALDENBURG","BRE",44,51,32,33,76,84,68,276,16,70,0,0,0,0,0,0,20,12,13,9
196,"GLATZ","BRE",25,27,26,28,51,55,5,9,50,116,0,0,0,0,0,0,8,1,8,2
197,"NEURODE","BRE",24,25,11,13,35,38,4,5,33,134,1,2,0,0,0,0,7,16,3,0
198,"HABELSCHWERDT","BRE",34,34,36,37,70,71,3,3,68,145,0,0,0,0,0,0,6,6,4,1
199,"GRUNBERG","LIE",35,38,27,27,62,65,50,137,15,32,0,0,0,0,0,0,3,17,5,1
200,"FREISTADT","LIE",23,24,45,45,68,69,56,143,13,24,0,0,0,0,0,0,3,2,9,6
201,"SAGAN","LIE",30,30,50,50,80,80,60,158,20,42,0,0,0,0,0,0,3,1,13,10
202,"SPROTTAU","LIE",31,31,22,22,53,53,45,109,8,18,0,0,0,0,0,0,3,1,8,2
203,"GLOGAU","LIE",23,23,70,70,93,93,61,151,32,66,0,0,0,0,0,0,2,2,12,1
204,"LUBEN","LIE",28,30,23,23,51,53,46,110,7,13,0,0,0,0,0,0,3,9,7,1
205,"BUNZLAU","LIE",50,57,26,26,76,83,68,165,14,30,1,3,0,0,0,0,10,2,11,3
206,"GOLDBERG-HAINAU","LIE",23,23,33,36,56,59,54,137,5,9,0,0,0,0,0,0,7,16,7,4
207,"LIEGNITZ","LIE",7,7,1,1,8,8,6,69,2,14,0,0,0,0,0,0,1,0,0,0
208,"LIEGNITZ","LIE",38,38,35,35,73,73,66,153,7,11,0,0,0,0,0,0,6,6,2,1
209,"JAUER","LIE",24,26,20,20,44,46,29,74,17,33,0,0,0,0,0,0,4,4,2,0
210,"SCHONAU","LIE",25,27,11,13,36,40,31,70,9,16,0,0,0,0,0,0,1,2,2,0
211,"BOLKENHAIN","LIE",19,21,27,31,46,52,42,95,10,17,0,0,0,0,0,0,4,0,3,3
212,"LANDESHUT","LIE",45,46,11,11,56,57,28,71,28,70,0,0,0,0,1,4,6,12,5,2
213,"HIRSCHBERG","LIE",60,65,10,10,70,75,57,158,18,37,0,0,0,0,0,0,6,16,8,15
214,"LOWENBERG","LIE",59,63,36,45,95,108,78,170,30,53,0,0,0,0,0,0,5,7,6,0
215,"LAUBAN","LIE",48,51,19,20,67,71,63,185,8,19,0,0,0,0,0,0,8,5,7,3
216,"GORLITZ","LIE",1,7,0,0,1,7,6,97,1,11,0,0,0,0,0,0,0,0,0,0
217,"GORLITZ","LIE",25,28,32,32,57,60,58,153,2,3,0,0,0,0,0,0,10,7,4,0
218,"ROTHENBURG","LIE",19,21,45,45,64,66,65,170,1,1,0,0,0,0,0,0,2,2,4,2
219,"HOYERSWERDA","LIE",29,29,24,24,53,53,49,114,4,12,0,0,0,0,0,0,1,0,6,0
220,"KREUZBURG","OPP",25,25,25,25,50,50,39,96,9,17,0,0,0,0,2,12,2,4,5,0
221,"ROSENBERG","OPP",33,33,29,29,62,62,10,16,51,105,0,0,0,0,1,8,7,2,5,0
222,"OPPELN","OPP",86,86,34,34,120,120,24,41,95,224,0,0,0,0,1,2,16,5,28,1
223,"GROSS STREHLITZ","OPP",31,32,33,33,64,65,3,4,61,141,0,0,0,0,1,10,6,1,10,6
224,"LUBLINITZ","OPP",22,23,26,26,48,49,3,3,44,107,0,0,1,1,1,7,1,0,2,0
