kreiskey1864,county,rb,pop1864_tot,pop1864_civ,pop1864_mil,pop1864_m_0to15,pop1864_f_0to15,pop1864_tot_15to65,pop1864_m_ov65,pop1864_f_ov65
333,"ERKELENZ","AAC",40023,40008,15,6604,6525,24724,1108,1047
334,"HEINSBERG","AAC",35993,35989,4,6199,5796,21990,1016,988
335,"GEILENKIRCHEN","AAC",26490,26467,23,4599,4304,16025,787,752
336,"JULICH","AAC",42782,40558,2224,7189,6723,24184,1240,1222
337,"DUREN","AAC",61464,61438,26,10500,10328,37496,1517,1597
338,"AACHEN STADTKREIS","AAC",63811,62444,1367,9939,9723,40004,1179,1599
339,"AACHEN LANDKREIS","AAC",84822,84785,37,15176,14840,51308,1557,1904
340,"EUPEN","AAC",24376,24362,14,4037,3987,15094,572,672
341,"MONTJOIE","AAC",19715,19695,20,3445,3381,11957,413,499
342,"SCHLEIDEN","AAC",41094,41070,24,7259,7038,25013,848,912
343,"MALMEDY","AAC",31448,31386,62,5422,5319,19024,803,818
344,"SIGMARINGEN","AAC",19848,19803,45,2948,3014,12977,408,456
345,"GAMMERTINGEN","AAC",13387,13375,12,2054,2080,8485,423,333
346,"HECHINGEN","AAC",19832,19682,150,2932,3035,12643,587,485
347,"HAIGERLOCH","AAC",11891,11878,13,1734,1861,7632,357,294
